Phone Number,Email,Credit Score,Age Group,Family Background,Income,Lead Source,Product Interest Level,Interaction Frequency,Time Since Last Interaction,Website Visit Count,Intent
+91-8064405971,user0@example.com,540,36-50,Married with Kids,447186,Website,Medium,Medium,8,7,0
+91-9156102940,user1@example.com,540,51+,Married,468615,Event,High,Medium,7,7,0
+91-8627816746,user2@example.com,530,18-25,Single,301798,Social Media,Medium,High,2,5,0
+91-7342276297,user3@example.com,540,36-50,Married,432255,Referral,High,High,1,5,0
+91-9349454272,user4@example.com,530,36-50,Married with Kids,337103,Website,Medium,High,3,4,1
+91-9795298058,user5@example.com,580,51+,Married,869042,Referral,High,High,3,8,1
+91-7321629941,user6@example.com,570,18-25,Single,789925,Website,Medium,Medium,7,7,1
+91-9135570242,user7@example.com,590,18-25,Single,986867,Cold Call,Low,Low,21,12,0
+91-8491457619,user8@example.com,510,36-50,Married,189242,Event,High,Medium,10,3,1
+91-9291849794,user9@example.com,540,26-35,Married,475348,Social Media,Medium,High,3,5,1
+91-9538013276,user10@example.com,520,36-50,Married with Kids,253956,Referral,High,Medium,10,5,0
+91-9554866786,user11@example.com,590,36-50,Married,903631,Referral,High,Medium,8,12,0
+91-7487485492,user12@example.com,560,36-50,Married,684326,Referral,High,Medium,5,7,1
+91-8745327152,user13@example.com,560,36-50,Married with Kids,682074,Referral,High,Low,11,6,1
+91-7637907882,user14@example.com,590,51+,Married with Kids,996068,Event,High,Medium,4,11,0
+91-7773571162,user15@example.com,580,18-25,Single,860330,Website,Medium,Medium,5,9,0
+91-9284892990,user16@example.com,590,51+,Married,935726,Event,High,Low,13,10,1
+91-9015393180,user17@example.com,580,51+,Married,833375,Cold Call,Low,Medium,9,8,0
+91-8754291136,user18@example.com,520,51+,Married with Kids,265250,Event,High,Medium,10,5,0
+91-7391658271,user19@example.com,560,36-50,Married with Kids,622820,Event,High,Medium,8,7,1
+91-8429420451,user20@example.com,530,26-35,Married,362678,Cold Call,Low,Medium,9,5,1
+91-8717874703,user21@example.com,590,18-25,Single,978260,Event,High,Medium,5,9,1
+91-9147818607,user22@example.com,590,26-35,Married,922564,Website,Medium,High,3,11,0
+91-8152512622,user23@example.com,530,51+,Married with Kids,398254,Social Media,Medium,Medium,5,6,0
+91-8907858437,user24@example.com,580,51+,Married,814114,Cold Call,Low,Low,21,8,1
+91-8368962960,user25@example.com,590,26-35,Single,950012,Referral,High,Medium,8,9,0
+91-9402476211,user26@example.com,550,26-35,Single,515685,Website,Medium,High,2,7,1
+91-7595261336,user27@example.com,540,26-35,Married,426160,Social Media,Medium,Low,27,6,0
+91-7503645927,user28@example.com,510,51+,Married with Kids,146233,Website,Medium,Low,11,1,0
+91-7609140579,user29@example.com,520,51+,Married,297780,Website,Medium,Medium,7,2,0
+91-7378149768,user30@example.com,550,18-25,Single,551448,Referral,High,High,2,6,0
+91-7903684596,user31@example.com,580,18-25,Single,848810,Social Media,Medium,Medium,8,8,0
+91-8607688850,user32@example.com,520,51+,Married,206311,Website,Medium,High,3,2,0
+91-9974698253,user33@example.com,560,26-35,Single,658697,Referral,High,High,3,8,0
+91-9758765350,user34@example.com,580,26-35,Single,870519,Cold Call,Low,Medium,7,11,0
+91-9119118306,user35@example.com,550,18-25,Single,501954,Referral,High,High,1,7,1
+91-7981476327,user36@example.com,550,51+,Married with Kids,596246,Event,High,Medium,10,6,0
+91-7345519287,user37@example.com,590,18-25,Single,910486,Referral,High,High,2,11,0
+91-9851242186,user38@example.com,510,18-25,Single,129709,Referral,High,Low,29,3,0
+91-9704168372,user39@example.com,570,36-50,Married with Kids,733609,Referral,High,Medium,6,10,0
+91-7619596328,user40@example.com,510,36-50,Married with Kids,100363,Website,Medium,High,1,4,0
+91-9587693313,user41@example.com,580,36-50,Married with Kids,896790,Social Media,Medium,Low,12,10,0
+91-7940436060,user42@example.com,550,26-35,Single,594829,Referral,High,Low,11,6,0
+91-8295000852,user43@example.com,540,51+,Married with Kids,496456,Referral,High,Low,19,6,0
+91-8037845257,user44@example.com,550,51+,Married with Kids,565417,Event,High,Low,11,6,0
+91-7577484840,user45@example.com,510,51+,Married,145689,Event,High,Medium,9,1,1
+91-7191876120,user46@example.com,530,51+,Married with Kids,364080,Cold Call,Low,High,1,5,1
+91-7098767562,user47@example.com,590,36-50,Married with Kids,998704,Cold Call,Low,Low,22,12,0
+91-7494709276,user48@example.com,570,26-35,Married,715362,Event,High,High,2,7,0
+91-7389889653,user49@example.com,520,26-35,Married,275037,Social Media,Medium,High,2,5,1
+91-9277513770,user50@example.com,530,36-50,Married,308606,Cold Call,Low,High,2,4,0
+91-7941275438,user51@example.com,510,26-35,Married,100882,Social Media,Medium,Medium,9,3,0
+91-9454748876,user52@example.com,550,36-50,Married with Kids,513440,Event,High,Medium,4,8,0
+91-7796445323,user53@example.com,590,51+,Married with Kids,991659,Cold Call,Low,Low,27,11,1
+91-9910158773,user54@example.com,580,36-50,Married with Kids,879110,Referral,High,High,2,11,1
+91-7142495787,user55@example.com,520,51+,Married with Kids,225865,Event,High,Medium,8,4,0
+91-7641893893,user56@example.com,570,51+,Married,748033,Cold Call,Low,Medium,8,7,0
+91-9869245895,user57@example.com,550,18-25,Single,524041,Social Media,Medium,Medium,9,8,1
+91-7259710081,user58@example.com,550,36-50,Married with Kids,563956,Social Media,Medium,Low,21,6,0
+91-7465094875,user59@example.com,510,18-25,Single,128885,Cold Call,Low,Medium,5,4,0
+91-9012343544,user60@example.com,570,36-50,Married with Kids,795416,Social Media,Medium,High,3,9,0
+91-8134728610,user61@example.com,540,36-50,Married,496419,Cold Call,Low,Medium,4,5,1
+91-8691141371,user62@example.com,580,18-25,Single,815601,Cold Call,Low,Medium,6,9,0
+91-9169821601,user63@example.com,540,18-25,Single,495460,Social Media,Medium,Low,19,4,1
+91-8204280698,user64@example.com,540,36-50,Married,460466,Website,Medium,High,3,7,0
+91-7587686769,user65@example.com,540,26-35,Single,430763,Referral,High,Medium,6,5,0
+91-9962778189,user66@example.com,510,51+,Married,121584,Event,High,High,1,3,0
+91-7090275911,user67@example.com,580,18-25,Single,894953,Referral,High,High,2,11,1
+91-8736221222,user68@example.com,580,51+,Married,805377,Event,High,Medium,10,11,0
+91-7893519126,user69@example.com,590,26-35,Single,919973,Event,High,Low,27,12,0
+91-8260066608,user70@example.com,560,26-35,Single,653351,Referral,High,High,3,7,0
+91-9160087570,user71@example.com,510,26-35,Married,170268,Cold Call,Low,Medium,5,4,0
+91-7716875287,user72@example.com,580,18-25,Single,880594,Social Media,Medium,High,1,8,1
+91-8086080905,user73@example.com,570,26-35,Single,750506,Website,Medium,High,3,8,0
+91-7910067198,user74@example.com,540,18-25,Single,480350,Website,Medium,High,3,6,0
+91-9333934999,user75@example.com,550,26-35,Married,558168,Website,Medium,Medium,6,8,0
+91-8694962854,user76@example.com,580,51+,Married with Kids,848414,Referral,High,High,2,9,0
+91-8972175467,user77@example.com,520,51+,Married with Kids,270635,Referral,High,High,2,2,1
+91-9194898108,user78@example.com,520,36-50,Married,270824,Cold Call,Low,Low,14,4,0
+91-8560209713,user79@example.com,580,51+,Married with Kids,850593,Website,Medium,Medium,10,9,0
+91-8611150726,user80@example.com,540,36-50,Married with Kids,495783,Cold Call,Low,Medium,6,7,0
+91-8579640939,user81@example.com,550,51+,Married with Kids,509337,Website,Medium,High,3,8,0
